1000101	Hand-Attack^s1	0	0	1000101	101	0	0	850	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000102	Hand-Attack^s2	0	0	1000102	102	0	0	850	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000103	Hand-Attack^s3	0	0	1000103	103	0	0	950	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000201	Two-Handed^sWeapon^sAttack^s1	0	0	1000201	121	0	0	1280	0	0	0	1	1	1	1	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000202	Two-Handed^sWeapon^sAttack^s2	0	0	1000202	122	0	0	1280	0	0	0	1	1	1	1	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000203	Two-Handed^sWeapon^sAttack^s3	0	0	1000203	123	0	0	1330	0	0	0	1	1	1	1	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000301	One-Handed^sweapon^sAttack^s1	0	0	1000301	111	0	0	900	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000302	One-Handed^sweapon^sAttack^s2	0	0	1000302	112	0	0	900	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000303	One-Handed^sweapon^sAttack^s3	0	0	1000303	113	0	0	1050	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
1000401	Dagger^sAttack^s1	0	0	1000401	131	0	0	680	0	0	0	1	1	1	1	1	0	0	1	0	0	6	0	0	0	0	1	1	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
